,date,open,high,low,close,volume,capitalization,currency,secid
1901,2003-05-09,2.7981,2.7981,2.7981,2.7981,0.0,0.0,USD,STOOQ:rubeur
1902,2003-05-12,2.7742,2.7742,2.7742,2.7742,0.0,0.0,USD,STOOQ:rubeur
1903,2003-05-13,2.8033,2.8033,2.8033,2.8033,0.0,0.0,USD,STOOQ:rubeur
1904,2003-05-14,2.8054,2.8054,2.8054,2.8054,0.0,0.0,USD,STOOQ:rubeur
1905,2003-05-15,2.8106,2.8106,2.8106,2.8106,0.0,0.0,USD,STOOQ:rubeur
1906,2003-05-16,2.8334,2.8334,2.8334,2.8334,0.0,0.0,USD,STOOQ:rubeur
1907,2003-05-19,2.7642,2.7642,2.7642,2.7642,0.0,0.0,USD,STOOQ:rubeur
1908,2003-05-20,2.79,2.79,2.79,2.79,0.0,0.0,USD,STOOQ:rubeur
1909,2003-05-21,2.762,2.762,2.762,2.762,0.0,0.0,USD,STOOQ:rubeur
1910,2003-05-22,2.7836,2.7836,2.7836,2.7836,0.0,0.0,USD,STOOQ:rubeur
1911,2003-05-23,2.7627,2.7627,2.7627,2.7627,0.0,0.0,USD,STOOQ:rubeur
1912,2003-05-26,2.7566,2.7566,2.7566,2.7566,0.0,0.0,USD,STOOQ:rubeur
1913,2003-05-27,2.7366,2.7366,2.7366,2.7366,0.0,0.0,USD,STOOQ:rubeur
1914,2003-05-28,2.7701,2.7701,2.7701,2.7701,0.0,0.0,USD,STOOQ:rubeur
1915,2003-05-29,2.7777,2.7777,2.7777,2.7777,0.0,0.0,USD,STOOQ:rubeur
1916,2003-05-30,2.7553,2.7553,2.7553,2.7553,0.0,0.0,USD,STOOQ:rubeur
1917,2003-06-02,2.792,2.792,2.792,2.792,0.0,0.0,USD,STOOQ:rubeur
1918,2003-06-03,2.7641,2.7641,2.7641,2.7641,0.0,0.0,USD,STOOQ:rubeur
1919,2003-06-04,2.7753,2.7753,2.7753,2.7753,0.0,0.0,USD,STOOQ:rubeur
